ID;Уровень;Родительский раздел;Название страницы;Назначение;Старый URL;Итоговый URL;H1;Title;Description;Основной интент;Основной запрос;Дополнительные запросы;Доступная частотность;Тип страницы;Индексируемость;Schema.org;Входящие внутренние ссылки;Исходящие внутренние ссылки;Необходимые материалы;Приоритет P1–P4;Этап разработки;Статус публикации;Решение;Обоснование;Уровень уверенности;Кластер;GSC клики URL;GSC показы URL;GSC позиция URL;Активная страница;Длина Title;Длина Description
1;1;—;Главная;Главная навигационная и брендовая страница всей экосистемы.;/;/;Raskrutov — экосистема цифрового роста бизнеса;Raskrutov — цифровая экосистема для роста бизнеса;Сайты, продвижение, CRM, автоматизация, обучение, партнёрская сеть и R-Builder для цифрового роста бизнеса в Казахстане.;Брендовый / навигационный / коммерческий;Raskrutov;нет данных;;Главная;index, follow;Organization, LocalBusiness, WebSite;"/akademiya; /blog; /crm; /faq; /keysy; /kontakti; /o-kompanii; /partneram; /politika-konfidencialnosti; /publichnaya-oferta; /r-builder; /soglasie-na-obrabotku-personalnyh-dannyh; /web-studiya";"/akademiya; /blog; /crm; /faq; /keysy; /kontakti; /o-kompanii; /partneram; /politika-konfidencialnosti; /publichnaya-oferta; /r-builder; /soglasie-na-obrabotku-personalnyh-dannyh; /web-studiya";Подтверждённые факты о компании, направления, кейсы, команда, контакты, CTA.;P1;SEO-проверка;Опубликована (sitemap);KEEP;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая;home;270;5931;39.73;Да;49;120
2;2;Главная;Вебстудия Raskrutov;Хаб услуг веб-студии и точка входа в коммерческие направления.;/web-studiya;/web-studiya;Веб-студия Raskrutov;Вебстудия Raskrutov — сайты, продвижение и digital-решения;Создаём сайты, настраиваем продвижение, рекламу, CRM и digital-инструменты для заявок, продаж и роста бизнеса.;Коммерческий;веб студия казахстан;"веб студия; web студия; студия веб; веб агентство; студия сайтов; топ веб студий; веб студия топ; сайт веб студии; веб студия сайт; веб студия цены";50;Хаб;index, follow;CollectionPage, BreadcrumbList;"/; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/digital-konsalting; /web-studiya/dizayn; /web-studiya/kontekstnaya-reklama; /web-studiya/lidogeneratsiya; /web-studiya/podderzhka-saytov; /web-studiya/almaty; /web-studiya/astana; /web-studiya/shymkent; /web-studiya/aktau; /web-studiya/aktobe; /web-studiya/atyrau; /web-studiya/karaganda; /web-studiya/kokshetau; /web-studiya/kostanay; /web-studiya/kyzylorda; /web-studiya/pavlodar; /web-studiya/petropavlovsk; /web-studiya/semey; /web-studiya/taldykorgan; /web-studiya/taraz; /web-studiya/turkestan; /web-studiya/uralsk; /web-studiya/ust-kamenogorsk";"/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/digital-konsalting; /web-studiya/dizayn; /web-studiya/kontekstnaya-reklama; /web-studiya/lidogeneratsiya; /web-studiya/podderzhka-saytov; /web-studiya/almaty; /web-studiya/astana; /web-studiya/shymkent; /web-studiya/aktau; /web-studiya/aktobe; /web-studiya/atyrau; /web-studiya/karaganda; /web-studiya/kokshetau; /web-studiya/kostanay; /web-studiya/kyzylorda; /web-studiya/pavlodar; /web-studiya/petropavlovsk; /web-studiya/semey; /web-studiya/taldykorgan; /web-studiya/taraz; /web-studiya/turkestan; /web-studiya/uralsk; /web-studiya/ust-kamenogorsk";Экспертный текст, реальные кейсы, преимущества, процесс работы, FAQ, CTA, изображения.;P1;SEO-проверка;Опубликована (sitemap);KEEP;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая;webstudio;;;;Да;58;110
3;2;Вебстудия Raskrutov;Создание сайтов;Посадочная страница направления «Создание сайтов».;"/sozdanie-saitov; /web-studiya/sozdanie-saitov";/sozdanie-saitov;Создание сайтов под ключ для бизнеса в Казахстане;Создание сайтов под ключ в Казахстане | Raskrutov;Разрабатываем лендинги, корпоративные сайты и интернет-магазины: структура, дизайн, запуск, интеграции и подготовка к продвижению.;Коммерческий;создание сайтов;"заказать сайт; разработка сайта; разработка сайтов; разработчик сайта; нужен сайт; заказ сайта; сайт под ключ; сайт на заказ; создание сайт; заказ на сайт";500;Услуга;index, follow;Service, BreadcrumbList, FAQPage (если FAQ видим на странице);"/sozdanie-onlain-shkol-i-kursov; /sozdanie-saitov-v-Petropavlovske; /sozdanie-saitov-v-almaty; /sozdanie-saitov-v-astane; /sozdanie-saitov-v-karagande; /sozdanie-saitov-v-shimkente; /web-studiya; /web-studiya/sozdanie-saitov/ai-konsultanty; /web-studiya/sozdanie-saitov/integratsii; /web-studiya/sozdanie-saitov/internet-magazin; /web-studiya/sozdanie-saitov/korporativnyy-sayt; /web-studiya/sozdanie-saitov/landing; /web-studiya/sozdanie-saitov/mnogostranichnye-sayty; /web-studiya/sozdanie-saitov/onlayn-kalkulyatory; /web-studiya/sozdanie-saitov/redizayn-sayta; /web-studiya/sozdanie-saitov/sayt-vizitka; /sozdanie-saitov-v-aktau; /sozdanie-saitov-v-aktobe; /sozdanie-saitov-v-atyrau; /sozdanie-saitov-v-kokshetau; /sozdanie-saitov-v-kostanae; /sozdanie-saitov-v-kyzylorde; /sozdanie-saitov-v-pavlodare; /sozdanie-saitov-v-semee; /sozdanie-saitov-v-taldykorgane; /sozdanie-saitov-v-taraze; /sozdanie-saitov-v-turkestane; /sozdanie-saitov-v-uralske; /sozdanie-saitov-v-ust-kamenogorske";"/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-onlain-shkol-i-kursov; /sozdanie-saitov-v-Petropavlovske; /sozdanie-saitov-v-almaty; /sozdanie-saitov-v-astane; /sozdanie-saitov-v-karagande; /sozdanie-saitov-v-shimkente; /web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/sozdanie-saitov/ai-konsultanty; /web-studiya/sozdanie-saitov/integratsii; /web-studiya/sozdanie-saitov/internet-magazin; /web-studiya/sozdanie-saitov/korporativnyy-sayt; /web-studiya/sozdanie-saitov/landing; /web-studiya/sozdanie-saitov/mnogostranichnye-sayty; /web-studiya/sozdanie-saitov/onlayn-kalkulyatory; /web-studiya/sozdanie-saitov/redizayn-sayta; /web-studiya/sozdanie-saitov/sayt-vizitka; /sozdanie-saitov-v-aktau; /sozdanie-saitov-v-aktobe; /sozdanie-saitov-v-atyrau; /sozdanie-saitov-v-kokshetau; /sozdanie-saitov-v-kostanae; /sozdanie-saitov-v-kyzylorde; /sozdanie-saitov-v-pavlodare; /sozdanie-saitov-v-semee; /sozdanie-saitov-v-taldykorgane; /sozdanie-saitov-v-taraze; /sozdanie-saitov-v-turkestane; /sozdanie-saitov-v-uralske; /sozdanie-saitov-v-ust-kamenogorske";Экспертный текст, реальные кейсы, преимущества, процесс работы, FAQ, CTA, изображения.;P1;Переработка контента и SEO;"Старый URL с данными GSC; сохранить и проверить доступность";UPDATE;Сохраняем legacy-URL /sozdanie-saitov: у него есть показы и клики GSC. Новый вложенный дубль должен вести на него напрямую.;Высокая;site_creation;3;1622;37.79;Да;49;130
4;4;Создание сайтов;Создание лендингов;Посадочная страница направления «Создание лендингов».;/web-studiya/sozdanie-saitov/landing;/web-studiya/sozdanie-saitov/landing;Создание лендингов;Создание лендингов в Казахстане — посадочные страницы;Разрабатываем продающие лендинги под рекламу, услуги, продукты и запуск новых направлений бизнеса.;Коммерческий;создание лендингов;"топ лендингов; продвижение лендинга; продвижение лендинг сайта; продвижение лендинга под ключ; раскрутка лендинга; создание и продвижение лендинга; создание и продвижение лендинга под ключ; разработка лендинг пейдж алматы; создание landing page в алматы; создание landing page алматы";50;Узкая услуга;index, follow;Service, BreadcrumbList, FAQPage (если FAQ видим на странице);/sozdanie-saitov;"/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov";Экспертный текст, реальные кейсы, преимущества, процесс работы, FAQ, CTA, изображения.;P1;SEO-проверка;Опубликована (sitemap);KEEP;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая;site_landing;;;;Да;53;98
5;4;Создание сайтов;Создание многостраничных сайтов;Посадочная страница направления «Создание многостраничных сайтов».;/web-studiya/sozdanie-saitov/mnogostranichnye-sayty;/web-studiya/sozdanie-saitov/mnogostranichnye-sayty;Создание многостраничных сайтов;Создание многостраничных сайтов — структура, SEO, заявки;Создаём многостраничные сайты для бизнеса с каталогом услуг, SEO-структурой, FAQ, формами и аналитикой.;Коммерческий;создание многостраничных сайтов;"многостраничный сайт; многостраничный сайт под ключ; создание многостраничного сайта; разработка многостраничного сайта; конструктор многостраничных сайтов";;Узкая услуга;index, follow;Service, BreadcrumbList, FAQPage (если FAQ видим на странице);/sozdanie-saitov;"/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov";Экспертный текст, реальные кейсы, преимущества, процесс работы, FAQ, CTA, изображения.;P1;Структура/SEO;Не опубликована;NEW;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая;site_multipage;;;;Да;56;103
6;4;Создание сайтов;Создание корпоративного сайта;Посадочная страница направления «Создание корпоративного сайта».;/web-studiya/sozdanie-saitov/korporativnyy-sayt;/web-studiya/sozdanie-saitov/korporativnyy-sayt;Создание корпоративного сайта;Создание корпоративного сайта — имидж и заявки для компании;Разрабатываем корпоративные сайты для компаний Казахстана: структура, тексты, дизайн, кейсы, доверие и заявки.;Коммерческий;создание корпоративного сайта;"создать корпоративный сайт; корпоративный сайт компании; создание корпоративных сайтов; разработка корпоративных сайтов; создание корпоративного сайта астана; продвижение корпоративных сайтов; заказать корпоративный сайт под ключ; создание корпоративных сайтов под ключ; создание корпоративного сайта под ключ; разработка корпоративных сайтов в алмате";50;Узкая услуга;index, follow;Service, BreadcrumbList, FAQPage (если FAQ видим на странице);/sozdanie-saitov;"/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov";Экспертный текст, реальные кейсы, преимущества, процесс работы, FAQ, CTA, изображения.;P1;Структура/SEO;Не опубликована;NEW;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая;site_corporate;;;;Да;59;110
7;4;Создание сайтов;Создание интернет-магазинов;Посадочная страница направления «Создание интернет-магазинов».;/web-studiya/sozdanie-saitov/internet-magazin;/web-studiya/sozdanie-saitov/internet-magazin;Создание интернет-магазинов;Создание интернет-магазина — каталог, корзина, оплата, CRM;Создаём интернет-магазины с каталогом, карточками товаров, корзиной, заявками, оплатой и интеграциями.;Коммерческий;создание интернет-магазинов;"создать интернет магазин; создания интернет магазина; раскрутка интернет магазина; интернет магазин разработка; создание интернет магазинов; интернет магазин цена сайта; поддержка интернет магазина; разработка интернет магазина; раскрутка интернет магазинов; продвижение интернет магазина";50;Узкая услуга;index, follow;Service, BreadcrumbList, FAQPage (если FAQ видим на странице);/sozdanie-saitov;"/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov";Экспертный текст, реальные кейсы, преимущества, процесс работы, FAQ, CTA, изображения.;P1;Структура/SEO;Не опубликована;NEW;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая;site_ecommerce;;;;Да;58;102
9;4;Создание сайтов;Создание сайта-визитки;Посадочная страница направления «Создание сайта-визитки».;/web-studiya/sozdanie-saitov/sayt-vizitka;/web-studiya/sozdanie-saitov/sayt-vizitka;Создание сайта-визитки;Создание сайта-визитки — быстрый сайт для компании;Делаем лаконичные сайты-визитки для бизнеса, специалистов и локальных услуг с понятной подачей и контактами.;Коммерческий;создание сайта-визитки;"сайт визитка в алматы; сайт визитка; сайт визитка под ключ";;Узкая услуга;index, follow;Service, BreadcrumbList, FAQPage (если FAQ видим на странице);/sozdanie-saitov;"/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov";Экспертный текст, реальные кейсы, преимущества, процесс работы, FAQ, CTA, изображения.;P2;Структура/SEO;Не опубликована;NEW;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая;site_business_card;;;;Да;50;108
10;4;Создание сайтов;Редизайн сайтов;Посадочная страница направления «Редизайн сайтов».;/web-studiya/sozdanie-saitov/redizayn-sayta;/web-studiya/sozdanie-saitov/redizayn-sayta;Редизайн сайтов;Редизайн сайта — обновление дизайна, структуры и конверсии;Обновляем устаревшие сайты: улучшаем дизайн, структуру, мобильную версию, тексты и точки заявки.;Коммерческий;редизайн сайтов;"переделка сайта; модернизация сайта; редизайн сайта; редизайн лендинга; заказать редизайн сайта; редизайн существующего сайта";50;Узкая услуга;index, follow;Service, BreadcrumbList, FAQPage (если FAQ видим на странице);/sozdanie-saitov;"/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov";Экспертный текст, реальные кейсы, преимущества, процесс работы, FAQ, CTA, изображения.;P2;Структура/SEO;Не опубликована;NEW;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая;site_redesign;;;;Да;58;96
11;4;Создание сайтов;Интеграции;Посадочная страница направления «Интеграции».;/web-studiya/sozdanie-saitov/integratsii;/web-studiya/sozdanie-saitov/integratsii;Интеграции;Интеграции для сайта — CRM, формы, оплата, аналитика;Подключаем к сайту CRM, формы, мессенджеры, оплату, аналитику, онлайн-сервисы и автоматические уведомления.;Коммерческий;интеграции;интеграция сайта с сервисами;;Узкая услуга;index, follow;Service, BreadcrumbList, FAQPage (если FAQ видим на странице);"/sozdanie-saitov; /sozdanie-saitov-s-1c-integraciya";"/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /sozdanie-saitov-s-1c-integraciya; /web-studiya/podderzhka-saytov";Экспертный текст, реальные кейсы, преимущества, процесс работы, FAQ, CTA, изображения.;P2;Структура/SEO;Не опубликована;NEW;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая;site_integrations;;;;Да;52;107
13;4;Создание сайтов;Разработка онлайн-калькуляторов;Посадочная страница направления «Разработка онлайн-калькуляторов».;/web-studiya/sozdanie-saitov/onlayn-kalkulyatory;/web-studiya/sozdanie-saitov/onlayn-kalkulyatory;Разработка онлайн-калькуляторов;Разработка онлайн-калькуляторов для сайта;Создаём онлайн-калькуляторы стоимости, подбора и расчёта для сайтов услуг, производства, доставки и продаж.;Коммерческий;разработка онлайн-калькуляторов;"калькулятор для сайта; разработка калькулятора для сайта";;Узкая услуга;index, follow;Service, BreadcrumbList, FAQPage (если FAQ видим на странице);/sozdanie-saitov;"/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov";Экспертный текст, реальные кейсы, преимущества, процесс работы, FAQ, CTA, изображения.;P2;Структура/SEO;Не опубликована;NEW;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая;site_calculators;;;;Да;41;107
14;4;Создание сайтов;Внедрение AI-консультантов;Посадочная страница направления «Внедрение AI-консультантов».;/web-studiya/sozdanie-saitov/ai-konsultanty;/web-studiya/sozdanie-saitov/ai-konsultanty;Внедрение AI-консультантов;AI-консультант для сайта — внедрение и настройка;Внедряем AI-консультантов на сайт для ответов на вопросы, сбора заявок и поддержки клиентов 24/7.;Коммерческий;внедрение ai-консультантов;нет данных;;Узкая услуга;index, follow;Service, BreadcrumbList, FAQPage (если FAQ видим на странице);/sozdanie-saitov;"/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov";Экспертный текст, реальные кейсы, преимущества, процесс работы, FAQ, CTA, изображения.;P2;Структура/SEO;Не опубликована;NEW;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая;site_ai_consultants;;;;Да;48;97
15;3;Создание сайтов;Создание сайтов в Петропавловске;Геозависимая коммерческая страница направления «Создание сайтов» для компаний в Петропавловске.;/sozdanie-saitov-v-Petropavlovske;/sozdanie-saitov-v-Petropavlovske;Создание сайтов в Петропавловске;Создание сайтов в Петропавловске под ключ | Raskrutov;Создаём сайты для бизнеса в Петропавловске: лендинги, корпоративные сайты и интернет-магазины с подготовкой к SEO, рекламе и продажам.;Коммерческий геозависимый;создание сайтов петропавловск;"разработка сайтов петропавловск; заказать сайт петропавловск; создание сайта под ключ петропавловск";;Гео-услуга;index, follow;Service (areaServed: Петропавловск), BreadcrumbList, FAQPage (если FAQ видим);"/sozdanie-saitov; /web-studiya; /web-studiya/petropavlovsk";"/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov; /web-studiya/petropavlovsk; /sozdanie-saitov-v-Petropavlovske; /seo-prodvizhenie-sajtov-v-petropavlovske";Уникальный оффер для Петропавловск, особенности локального спроса и бизнеса, модель удалённой работы, релевантные кейсы, доказательства, FAQ, CTA. Нельзя публиковать шаблон только с заменой названия города.;P1;Переработка контента и SEO;"Старый URL с данными GSC; сохранить и проверить доступность";UPDATE;"Сохраняем существующий URL: отдельный геоинтент и данные GSC подтверждают самостоятельную страницу.; Включена в полную региональную матрицу 18 городов; существующий URL сохранён.";Высокая;site_geo_petropavlovsk;2;77;7.44;Да;53;134
