 ,Главная,—,Главная,/,Главная,P0,Raskrutov — цифровая экосистема для роста бизнеса,49,"Сайты, продвижение, CRM, автоматизация, обучение, партнёрская сеть и R-Builder для цифрового роста бизнеса в Казахстане.",120,Создана,Опубликована,,,,Главная страница уже создана
2,Студия,Главная,Вебстудия Raskrutov,/web-studiya,Хаб,P0,"Вебстудия Raskrutov — сайты, продвижение и digital-решения",58,"Создаём сайты, настраиваем продвижение, рекламу, CRM и digital-инструменты для заявок, продаж и роста бизнеса.",110,Опубликована,Опубликована,,,,Хаб вебстудии уже создан
3,Студия,Вебстудия Raskrutov,Создание сайтов,/web-studiya/sozdanie-saitov,Услуга,P0,Создание сайтов в Казахстане — заказать сайт под бизнес,55,"Разрабатываем лендинги, корпоративные сайты, интернет-магазины и многостраничные сайты с продуманной структурой и конверсией.",125,Опубликована,Опубликована,,,,Главная услуга студии уже создана
4,Создание сайтов,Создание сайтов,Создание лендингов,/web-studiya/sozdanie-saitov/landing,Узкая услуга,P1,Создание лендингов в Казахстане — посадочные страницы,53,"Разрабатываем продающие лендинги под рекламу, услуги, продукты и запуск новых направлений бизнеса.",98,Опубликована,Структура/SEO,,,,
5,Создание сайтов,Создание сайтов,Создание многостраничных сайтов,/web-studiya/sozdanie-saitov/mnogostranichnye-sayty,Узкая услуга,P1,"Создание многостраничных сайтов — структура, SEO, заявки",56,"Создаём многостраничные сайты для бизнеса с каталогом услуг, SEO-структурой, FAQ, формами и аналитикой.",103,Опубликована,Структура/SEO,,,,
6,Создание сайтов,Создание сайтов,Создание корпоративного сайта,/web-studiya/sozdanie-saitov/korporativnyy-sayt,Узкая услуга,P1,Создание корпоративного сайта — имидж и заявки для компании,59,"Разрабатываем корпоративные сайты для компаний Казахстана: структура, тексты, дизайн, кейсы, доверие и заявки.",110,Опубликована,Структура/SEO,,,,
7,Создание сайтов,Создание сайтов,Создание интернет-магазинов,/web-studiya/sozdanie-saitov/internet-magazin,Узкая услуга,P1,"Создание интернет-магазина — каталог, корзина, оплата, CRM",58,"Создаём интернет-магазины с каталогом, карточками товаров, корзиной, заявками, оплатой и интеграциями.",102,Запланировано,Структура/SEO,,,,
8,Создание сайтов,Создание сайтов,Создание онлайн-школ,/web-studiya/sozdanie-saitov/onlayn-shkola,Узкая услуга,P2,"Создание сайта онлайн-школы — курсы, заявки, оплата",51,"Создаём сайты для онлайн-школ, курсов и экспертов: программа, тарифы, формы, оплата и воронка заявок.",101,Запланировано,Структура/SEO,,,,
9,Создание сайтов,Создание сайтов,Создание сайта-визитки,/web-studiya/sozdanie-saitov/sayt-vizitka,Узкая услуга,P2,Создание сайта-визитки — быстрый сайт для компании,50,"Делаем лаконичные сайты-визитки для бизнеса, специалистов и локальных услуг с понятной подачей и контактами.",108,Запланировано,Структура/SEO,,,,
10,Создание сайтов,Создание сайтов,Редизайн сайтов,/web-studiya/sozdanie-saitov/redizayn-sayta,Узкая услуга,P2,"Редизайн сайта — обновление дизайна, структуры и конверсии",58,"Обновляем устаревшие сайты: улучшаем дизайн, структуру, мобильную версию, тексты и точки заявки.",96,Запланировано,Структура/SEO,,,,
11,Создание сайтов,Создание сайтов,Обслуживание сайтов,/web-studiya/sozdanie-saitov/obsluzhivanie-saytov,Узкая услуга,P2,"Обслуживание сайтов — поддержка, правки и развитие",50,"Берём сайт на сопровождение: правки, обновления, контроль работоспособности, SEO-задачи и развитие страниц.",107,Запланировано,Структура/SEO,,,,
12,Создание сайтов,Создание сайтов,Интеграции,/web-studiya/sozdanie-saitov/integratsii,Узкая услуга,P2,"Интеграции для сайта — CRM, формы, оплата, аналитика",52,"Подключаем к сайту CRM, формы, мессенджеры, оплату, аналитику, онлайн-сервисы и автоматические уведомления.",107,Запланировано,Структура/SEO,,,,
13,Создание сайтов,Создание сайтов,Разработка онлайн-калькуляторов,/web-studiya/sozdanie-saitov/onlayn-kalkulyatory,Узкая услуга,P2,Разработка онлайн-калькуляторов для сайта,41,"Создаём онлайн-калькуляторы стоимости, подбора и расчёта для сайтов услуг, производства, доставки и продаж.",107,Запланировано,Структура/SEO,,,,
14,Создание сайтов,Создание сайтов,Внедрение AI-консультантов,/web-studiya/sozdanie-saitov/ai-konsultanty,Узкая услуга,P2,AI-консультант для сайта — внедрение и настройка,48,"Внедряем AI-консультантов на сайт для ответов на вопросы, сбора заявок и поддержки клиентов 24/7.",97,Запланировано,Структура/SEO,,,,
15,Создание сайтов,Создание сайтов,Внедрение CRM-систем,/web-studiya/sozdanie-saitov/crm-sistemy,Узкая услуга,P2,"Внедрение CRM для сайта — заявки, воронки, контроль",51,"Настраиваем передачу заявок с сайта в CRM, воронки продаж, уведомления, задачи менеджерам и контроль лидов.",107,Запланировано,Структура/SEO,,,,
