Город;Приоритет города;Направление;Базовая страница;Региональный URL;Кластер;Основной запрос;Источник решения;Статус страницы;Решение;Приоритет P1–P4;Этап;Требование к контенту;Внутренняя перелинковка;Примечание
Алматы;T1;Веб-студия;/web-studiya;/web-studiya/almaty;webstudio_geo_almaty;веб студия алматы;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P1;Региональные страницы — этап 1;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/almaty; базовая услуга: /web-studiya";Региональный хаб связывает восемь основных услуг города.
Алматы;T1;Создание сайтов;/sozdanie-saitov;/sozdanie-saitov-v-almaty;site_geo_almaty;создание сайтов алматы;Существующий URL / GSC / прежняя карта;Существующая — сохранить и переработать;UPDATE;P1;Региональные страницы — этап 1;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/almaty; базовая услуга: /sozdanie-saitov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Алматы;T1;Услуги дизайнера;/web-studiya/dizayn;/web-studiya/dizayn/almaty;design_geo_almaty;услуги дизайнера алматы;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/almaty; базовая услуга: /web-studiya/dizayn";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Алматы;T1;SEO-продвижение;/seo-prodvizhenie-sajtov;/seo-prodvizhenie-sajtov-v-almaty;seo_geo_almaty;seo продвижение алматы;Существующий URL / GSC / прежняя карта;Существующая — сохранить и переработать;UPDATE;P1;Региональные страницы — этап 1;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/almaty; базовая услуга: /seo-prodvizhenie-sajtov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Алматы;T1;AEO/GEO-продвижение;/web-studiya/aeo-geo-prodvizhenie;/web-studiya/aeo-geo-prodvizhenie/almaty;aeo_geo_almaty;продвижение в ии поиске алматы;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/almaty; базовая услуга: /web-studiya/aeo-geo-prodvizhenie";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Алматы;T1;Контекстная реклама;/web-studiya/kontekstnaya-reklama;/web-studiya/kontekstnaya-reklama/almaty;ppc_geo_almaty;контекстная реклама алматы;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/almaty; базовая услуга: /web-studiya/kontekstnaya-reklama";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Алматы;T1;Лидогенерация;/web-studiya/lidogeneratsiya;/web-studiya/lidogeneratsiya/almaty;leadgen_geo_almaty;лидогенерация алматы;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/almaty; базовая услуга: /web-studiya/lidogeneratsiya";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Алматы;T1;Поддержка сайтов;/web-studiya/podderzhka-saytov;/web-studiya/podderzhka-saytov/almaty;site_support_geo_almaty;поддержка сайтов алматы;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/almaty; базовая услуга: /web-studiya/podderzhka-saytov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Алматы;T1;Digital-консалтинг;/web-studiya/digital-konsalting;/web-studiya/digital-konsalting/almaty;digital_consulting_geo_almaty;digital консалтинг алматы;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P2;Региональные страницы — этап 2;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/almaty; базовая услуга: /web-studiya/digital-konsalting";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
Астана;T1;Веб-студия;/web-studiya;/web-studiya/astana;webstudio_geo_astana;веб студия астана;"Новое вводное заказчика; частотность требует проверки";Новая — создать;NEW;P1;Региональные страницы — этап 1;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/astana; базовая услуга: /web-studiya";Региональный хаб связывает восемь основных услуг города.
Астана;T1;Создание сайтов;/sozdanie-saitov;/sozdanie-saitov-v-astane;site_geo_astana;создание сайтов астана;Существующий URL / GSC / прежняя карта;Существующая — сохранить и переработать;UPDATE;P1;Региональные страницы — этап 1;"Уникальный локальный оффер, спрос и бизнес-контекст города, релевантные кейсы/доказательства, FAQ и CTA; не использовать копию с заменой топонима.";"Городской хаб: /web-studiya/astana; базовая услуга: /sozdanie-saitov";Не добавлять LocalBusiness/адрес офиса без фактического присутствия в городе.
