ID,Уровень,Родительский раздел,Название страницы,Итоговый URL,H1,Title,Description,Тип страницы,Индексируемость,Schema.org,Приоритет,Этап разработки,Статус публикации,Решение,Входящие внутренние ссылки,Исходящие внутренние ссылки
1,1,—,Главная,/,Raskrutov — экосистема цифрового роста бизнеса,Raskrutov — цифровая экосистема для роста бизнеса,"Сайты, продвижение, CRM, автоматизация, обучение, партнёрская сеть и R-Builder для цифрового роста бизнеса в Казахстане.",Главная,"index, follow","Organization, LocalBusiness, WebSite",P1,SEO-проверка,Опубликована (sitemap),KEEP,/akademiya; /blog; /crm; /faq; /keysy; /kontakti; /o-kompanii; /partneram; /politika-konfidencialnosti; /publichnaya-oferta; /r-builder; /soglasie-na-obrabotku-personalnyh-dannyh; /web-studiya,/akademiya; /blog; /crm; /faq; /keysy; /kontakti; /o-kompanii; /partneram; /politika-konfidencialnosti; /publichnaya-oferta; /r-builder; /soglasie-na-obrabotku-personalnyh-dannyh; /web-studiya
2,2,Главная,Вебстудия Raskrutov,/web-studiya,Веб-студия Raskrutov,"Вебстудия Raskrutov — сайты, продвижение и digital-решения","Создаём сайты, настраиваем продвижение, рекламу, CRM и digital-инструменты для заявок, продаж и роста бизнеса.",Хаб,"index, follow","CollectionPage, BreadcrumbList",P1,SEO-проверка,Опубликована (sitemap),KEEP,/; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/digital-konsalting; /web-studiya/dizayn; /web-studiya/kontekstnaya-reklama; /web-studiya/lidogeneratsiya; /web-studiya/podderzhka-saytov; /web-studiya/almaty; /web-studiya/astana; /web-studiya/shymkent; /web-studiya/aktau; /web-studiya/aktobe; /web-studiya/atyrau; /web-studiya/karaganda; /web-studiya/kokshetau; /web-studiya/kostanay; /web-studiya/kyzylorda; /web-studiya/pavlodar; /web-studiya/petropavlovsk; /web-studiya/semey; /web-studiya/taldykorgan; /web-studiya/taraz; /web-studiya/turkestan; /web-studiya/uralsk; /web-studiya/ust-kamenogorsk,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/aeo-geo-prodvizhenie; /web-studiya/digital-konsalting; /web-studiya/dizayn; /web-studiya/kontekstnaya-reklama; /web-studiya/lidogeneratsiya; /web-studiya/podderzhka-saytov; /web-studiya/almaty; /web-studiya/astana; /web-studiya/shymkent; /web-studiya/aktau; /web-studiya/aktobe; /web-studiya/atyrau; /web-studiya/karaganda; /web-studiya/kokshetau; /web-studiya/kostanay; /web-studiya/kyzylorda; /web-studiya/pavlodar; /web-studiya/petropavlovsk; /web-studiya/semey; /web-studiya/taldykorgan; /web-studiya/taraz; /web-studiya/turkestan; /web-studiya/uralsk; /web-studiya/ust-kamenogorsk
3,2,Вебстудия Raskrutov,Создание сайтов,/sozdanie-saitov,Создание сайтов под ключ для бизнеса в Казахстане,Создание сайтов под ключ в Казахстане | Raskrutov,"Разрабатываем лендинги, корпоративные сайты и интернет-магазины: структура, дизайн, запуск, интеграции и подготовка к продвижению.",Услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P1,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/sozdanie-onlain-shkol-i-kursov; /sozdanie-saitov-v-Petropavlovske; /sozdanie-saitov-v-almaty; /sozdanie-saitov-v-astane; /sozdanie-saitov-v-karagande; /sozdanie-saitov-v-shimkente; /web-studiya; /web-studiya/sozdanie-saitov/ai-konsultanty; /web-studiya/sozdanie-saitov/integratsii; /web-studiya/sozdanie-saitov/internet-magazin; /web-studiya/sozdanie-saitov/korporativnyy-sayt; /web-studiya/sozdanie-saitov/landing; /web-studiya/sozdanie-saitov/mnogostranichnye-sayty; /web-studiya/sozdanie-saitov/onlayn-kalkulyatory; /web-studiya/sozdanie-saitov/redizayn-sayta; /web-studiya/sozdanie-saitov/sayt-vizitka; /sozdanie-saitov-v-aktau; /sozdanie-saitov-v-aktobe; /sozdanie-saitov-v-atyrau; /sozdanie-saitov-v-kokshetau; /sozdanie-saitov-v-kostanae; /sozdanie-saitov-v-kyzylorde; /sozdanie-saitov-v-pavlodare; /sozdanie-saitov-v-semee; /sozdanie-saitov-v-taldykorgane; /sozdanie-saitov-v-taraze; /sozdanie-saitov-v-turkestane; /sozdanie-saitov-v-uralske; /sozdanie-saitov-v-ust-kamenogorske,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-onlain-shkol-i-kursov; /sozdanie-saitov-v-Petropavlovske; /sozdanie-saitov-v-almaty; /sozdanie-saitov-v-astane; /sozdanie-saitov-v-karagande; /sozdanie-saitov-v-shimkente; /web-studiya; /web-studiya/podderzhka-saytov; /web-studiya/sozdanie-saitov/ai-konsultanty; /web-studiya/sozdanie-saitov/integratsii; /web-studiya/sozdanie-saitov/internet-magazin; /web-studiya/sozdanie-saitov/korporativnyy-sayt; /web-studiya/sozdanie-saitov/landing; /web-studiya/sozdanie-saitov/mnogostranichnye-sayty; /web-studiya/sozdanie-saitov/onlayn-kalkulyatory; /web-studiya/sozdanie-saitov/redizayn-sayta; /web-studiya/sozdanie-saitov/sayt-vizitka; /sozdanie-saitov-v-aktau; /sozdanie-saitov-v-aktobe; /sozdanie-saitov-v-atyrau; /sozdanie-saitov-v-kokshetau; /sozdanie-saitov-v-kostanae; /sozdanie-saitov-v-kyzylorde; /sozdanie-saitov-v-pavlodare; /sozdanie-saitov-v-semee; /sozdanie-saitov-v-taldykorgane; /sozdanie-saitov-v-taraze; /sozdanie-saitov-v-turkestane; /sozdanie-saitov-v-uralske; /sozdanie-saitov-v-ust-kamenogorske
4,4,Создание сайтов,Создание лендингов,/web-studiya/sozdanie-saitov/landing,Создание лендингов,Создание лендингов в Казахстане — посадочные страницы,"Разрабатываем продающие лендинги под рекламу, услуги, продукты и запуск новых направлений бизнеса.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P1,SEO-проверка,Опубликована (sitemap),KEEP,/sozdanie-saitov,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov
5,4,Создание сайтов,Создание многостраничных сайтов,/web-studiya/sozdanie-saitov/mnogostranichnye-sayty,Создание многостраничных сайтов,"Создание многостраничных сайтов — структура, SEO, заявки","Создаём многостраничные сайты для бизнеса с каталогом услуг, SEO-структурой, FAQ, формами и аналитикой.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P1,Структура/SEO,Не опубликована,NEW,/sozdanie-saitov,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov
6,4,Создание сайтов,Создание корпоративного сайта,/web-studiya/sozdanie-saitov/korporativnyy-sayt,Создание корпоративного сайта,Создание корпоративного сайта — имидж и заявки для компании,"Разрабатываем корпоративные сайты для компаний Казахстана: структура, тексты, дизайн, кейсы, доверие и заявки.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P1,Структура/SEO,Не опубликована,NEW,/sozdanie-saitov,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov
7,4,Создание сайтов,Создание интернет-магазинов,/web-studiya/sozdanie-saitov/internet-magazin,Создание интернет-магазинов,"Создание интернет-магазина — каталог, корзина, оплата, CRM","Создаём интернет-магазины с каталогом, карточками товаров, корзиной, заявками, оплатой и интеграциями.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P1,Структура/SEO,Не опубликована,NEW,/sozdanie-saitov,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov
8,2,Создание сайтов,Создание онлайн-школ,/sozdanie-onlain-shkol-i-kursov,Создание сайтов для онлайн-школ и курсов,Создание сайта онлайн-школы и курсов | Raskrutov,"Разрабатываем сайты для онлайн-школ и курсов: программа, тарифы, формы, оплата, личный кабинет и интеграции по задаче проекта.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P2,Переработка контента и SEO,Старый URL с данными GSC; сохранить и проверить доступность,UPDATE,/sozdanie-saitov,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov
9,4,Создание сайтов,Создание сайта-визитки,/web-studiya/sozdanie-saitov/sayt-vizitka,Создание сайта-визитки,Создание сайта-визитки — быстрый сайт для компании,"Делаем лаконичные сайты-визитки для бизнеса, специалистов и локальных услуг с понятной подачей и контактами.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P2,Структура/SEO,Не опубликована,NEW,/sozdanie-saitov,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov
10,4,Создание сайтов,Редизайн сайтов,/web-studiya/sozdanie-saitov/redizayn-sayta,Редизайн сайтов,"Редизайн сайта — обновление дизайна, структуры и конверсии","Обновляем устаревшие сайты: улучшаем дизайн, структуру, мобильную версию, тексты и точки заявки.",Узкая услуга,"index, follow","Service, BreadcrumbList, FAQPage (если FAQ видим на странице)",P2,Структура/SEO,Не опубликована,NEW,/sozdanie-saitov,/; /keysy/sayty; /seo-prodvizhenie-sajtov; /sozdanie-saitov; /web-studiya/podderzhka-saytov
