Кластер;Название кластера;Основной запрос;Дополнительные запросы;Интент;Доступная частотность (макс. запрос, Planner);Сумма частотностей Planner (справочно);GSC клики;GSC показы;Количество уникальных запросов;Существующая страница;Итоговая страница;Решение;Риск каннибализации;Комментарий;Уверенность
home;Главная;Raskrutov;нет данных;Брендовый / навигационный / коммерческий;;0;0;0;0;/;/;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
webstudio;Вебстудия Raskrutov;веб студия казахстан;"веб студия; web студия; студия веб; веб агентство; студия сайтов; топ веб студий; веб студия топ; сайт веб студии; веб студия сайт; веб студия цены";Коммерческий;50;1200;1;169;44;/web-studiya;/web-studiya;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
site_creation;Создание сайтов;создание сайтов;"заказать сайт; разработка сайта; разработка сайтов; разработчик сайта; нужен сайт; заказ сайта; сайт под ключ; сайт на заказ; создание сайт; заказ на сайт";Коммерческий;500;15050;4;4495;428;"/sozdanie-saitov; /web-studiya/sozdanie-saitov";/sozdanie-saitov;UPDATE;Высокий;"Есть legacy-дубли или пересечение со страницами старой карты; применять канонизацию и 301.";Высокая
site_landing;Создание лендингов;создание лендингов;"топ лендингов; продвижение лендинга; продвижение лендинг сайта; продвижение лендинга под ключ; раскрутка лендинга; создание и продвижение лендинга; создание и продвижение лендинга под ключ; разработка лендинг пейдж алматы; создание landing page в алматы; создание landing page алматы";Коммерческий;50;200;0;147;58;/web-studiya/sozdanie-saitov/landing;/web-studiya/sozdanie-saitov/landing;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
site_multipage;Создание многостраничных сайтов;создание многостраничных сайтов;"многостраничный сайт; многостраничный сайт под ключ; создание многостраничного сайта; разработка многостраничного сайта; конструктор многостраничных сайтов";Коммерческий;;0;0;0;5;/web-studiya/sozdanie-saitov/mnogostranichnye-sayty;/web-studiya/sozdanie-saitov/mnogostranichnye-sayty;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
site_corporate;Создание корпоративного сайта;создание корпоративного сайта;"создать корпоративный сайт; корпоративный сайт компании; создание корпоративных сайтов; разработка корпоративных сайтов; создание корпоративного сайта астана; продвижение корпоративных сайтов; заказать корпоративный сайт под ключ; создание корпоративных сайтов под ключ; создание корпоративного сайта под ключ; разработка корпоративных сайтов в алмате";Коммерческий;50;200;0;54;31;/web-studiya/sozdanie-saitov/korporativnyy-sayt;/web-studiya/sozdanie-saitov/korporativnyy-sayt;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
site_ecommerce;Создание интернет-магазинов;создание интернет-магазинов;"создать интернет магазин; создания интернет магазина; раскрутка интернет магазина; интернет магазин разработка; создание интернет магазинов; интернет магазин цена сайта; поддержка интернет магазина; разработка интернет магазина; раскрутка интернет магазинов; продвижение интернет магазина";Коммерческий;50;3200;0;0;109;/web-studiya/sozdanie-saitov/internet-magazin;/web-studiya/sozdanie-saitov/internet-magazin;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
site_online_school;Создание онлайн-школ;создание сайта онлайн школы;"продюсерский центр онлайн школ; агентство продвижения онлайн школ; агентство продвижение онлайн школы; агентство по продвижению онлайн школ; лиды для онлайн школы; создание сайта для онлайн школы";Коммерческий;;0;0;136;6;"/sozdanie-onlain-shkol-i-kursov; /web-studiya/sozdanie-saitov/onlayn-shkola";/sozdanie-onlain-shkol-i-kursov;UPDATE;Низкий;Сохраняем старый URL с кликами и показами GSC вместо создания второго адреса под тот же интент.;Высокая
site_business_card;Создание сайта-визитки;создание сайта-визитки;"сайт визитка в алматы; сайт визитка; сайт визитка под ключ";Коммерческий;;0;0;7;3;/web-studiya/sozdanie-saitov/sayt-vizitka;/web-studiya/sozdanie-saitov/sayt-vizitka;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
site_redesign;Редизайн сайтов;редизайн сайтов;"переделка сайта; модернизация сайта; редизайн сайта; редизайн лендинга; заказать редизайн сайта; редизайн существующего сайта";Коммерческий;50;100;0;0;6;/web-studiya/sozdanie-saitov/redizayn-sayta;/web-studiya/sozdanie-saitov/redizayn-sayta;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
site_integrations;Интеграции;интеграции;интеграция сайта с сервисами;Коммерческий;;0;0;0;1;/web-studiya/sozdanie-saitov/integratsii;/web-studiya/sozdanie-saitov/integratsii;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
site_calculators;Разработка онлайн-калькуляторов;разработка онлайн-калькуляторов;"калькулятор для сайта; разработка калькулятора для сайта";Коммерческий;;0;0;0;2;/web-studiya/sozdanie-saitov/onlayn-kalkulyatory;/web-studiya/sozdanie-saitov/onlayn-kalkulyatory;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
site_ai_consultants;Внедрение AI-консультантов;внедрение ai-консультантов;нет данных;Коммерческий;;0;0;0;0;/web-studiya/sozdanie-saitov/ai-konsultanty;/web-studiya/sozdanie-saitov/ai-konsultanty;NEW;Низкий;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Высокая
design;Услуги дизайнера;услуги дизайнера;"веб дизайна; дизайн сайтов; дизайнер сайтов; веб дизайн сайта; веб дизайн студия; веб дизайнер сайт; топ дизайн сайтов; студия веб дизайна; цена дизайна сайта; веб дизайн компании";Коммерческий;500;3950;0;55;73;/web-studiya/dizayn;/web-studiya/dizayn;KEEP;Низкий;"Существующий URL сохраняется; отдельный интент подтверждён архитектурой и/или данными.";Высокая
