Старый URL;Новый URL;Действие;Тип редиректа;Причина;Страница-получатель;GSC клики;GSC показы;GSC позиция;Проверка на цепочку редиректов
/samyi-svezhiy-blog-o-sozdanii-i-prodvizhenii-saytov-v-astane-2025-;/sozdanie-saitov-v-astane;Перенести релевантный контент и настроить серверный редирект;301;"Устаревшая статья пересекается с коммерческой геостраницей; переносим полезный контент в неё.";Создание сайтов в Астане;3;890;60.87;OK: прямой редирект
/seo-prodvizhenie-sajtov-v-kazakhstane-klyuchevye-strategii-dlya-uspekha;/strategii-prodvizheniya-sajtov-v-kazakhstane;Перенести релевантный контент и настроить серверный редирект;301;Несколько близких статей объединяются в один evergreen-материал.;Стратегии SEO-продвижения сайтов в Казахстане;0;845;60.09;OK: прямой редирект
/seo-prodvizhenie-sajtov-v-kazakhstane-aktualnye-trendy-i-strategii-2024-goda;/strategii-prodvizheniya-sajtov-v-kazakhstane;Перенести релевантный контент и настроить серверный редирект;301;Несколько близких статей объединяются в один evergreen-материал.;Стратегии SEO-продвижения сайтов в Казахстане;1;719;40.83;OK: прямой редирект
/prodvizhenie-sajtov-v-kazakhstane-ehffektivnye-strategii-dlya-vashego-biznesa;/strategii-prodvizheniya-sajtov-v-kazakhstane;Перенести релевантный контент и настроить серверный редирект;301;Несколько близких статей объединяются в один evergreen-материал.;Стратегии SEO-продвижения сайтов в Казахстане;0;648;78.42;OK: прямой редирект
/seo-prodvizhenie-sajtov-v-kazakhstane-zakazat-u-raskrutov;/seo-prodvizhenie-sajtov;Перенести релевантный контент и настроить серверный редирект;301;Коммерческий SEO-интент объединяется с основной услугой, а не с информационной статьёй.;SEO-продвижение;0;595;71.37;OK: прямой редирект
/seo-optimizaciya-i-prodvizhenie-sajtov-po-kazakhstanu-raskrutov;/seo-prodvizhenie-sajtov;Перенести релевантный контент и настроить серверный редирект;301;Общий коммерческий SEO-интент консолидируется на основной услуге.;SEO-продвижение;0;517;53.55;OK: прямой редирект
/seo-prodvizhenie-v-almaty-kak-uluchshit-polzovatelskij-opyt-na-sajte;/seo-prodvizhenie-v-almaty-polnyj-gid-dlya-biznesa;Перенести релевантный контент и настроить серверный редирект;301;Дубли информационного интента объединяются с наиболее заметным URL.;Гид по SEO-продвижению для бизнеса в Алматы;0;499;85.5;OK: прямой редирект
/prodvizhenie-sajtov-v-almaty-lokalnye-metody-dlya-uvelicheniya-trafika;/seo-prodvizhenie-v-almaty-polnyj-gid-dlya-biznesa;Перенести релевантный контент и настроить серверный редирект;301;Дубли информационного интента объединяются с наиболее заметным URL.;Гид по SEO-продвижению для бизнеса в Алматы;0;309;87.09;OK: прямой редирект
/preimuschestva-kompanii;/o-kompanii;Перенести релевантный контент и настроить серверный редирект;301;Консолидация дубля в выбранный канонический URL.;О компании Raskrutov;0;141;8.94;OK: прямой редирект
/web-studiya/sozdanie-saitov;/sozdanie-saitov;Перенести релевантный контент и настроить серверный редирект;301;Консолидация дубля в выбранный канонический URL.;Создание сайтов;0;115;86.6;OK: прямой редирект
