Страница или кластер;Что было;Что предлагается;Тип изменения;Причина;Влияние на текущий URL;Необходимость редиректа;SEO-риск;Приоритет
/prodvizhenie-sajtov-v-kazakhstane-ehffektivnye-strategii-dlya-vashego-biznesa;Старый URL (GSC/sitemap);/strategii-prodvizheniya-sajtov-v-kazakhstane;REDIRECT;Несколько близких статей объединяются в один evergreen-материал.;301 на /strategii-prodvizheniya-sajtov-v-kazakhstane;Да;Средний: проверить перенос контента и релевантность;P1
/samyi-svezhiy-blog-o-sozdanii-i-prodvizhenii-saytov-v-astane-2025-;Старый URL (GSC/sitemap);/sozdanie-saitov-v-astane;REDIRECT;"Устаревшая статья пересекается с коммерческой геостраницей; переносим полезный контент в неё.";301 на /sozdanie-saitov-v-astane;Да;Средний: проверить перенос контента и релевантность;P1
/samyi-svezhiy-blog-o-sozdanii-i-prodvizhenii-saytov-v-petropavlovske-2025;Старый URL (GSC/sitemap);/sozdanie-saitov-v-Petropavlovske;REDIRECT;Консолидация слабой страницы с локальной коммерческой страницей.;301 на /sozdanie-saitov-v-Petropavlovske;Да;Средний: проверить перенос контента и релевантность;P1
/seo-optimizaciya-i-prodvizhenie-sajtov-po-kazakhstanu-raskrutov;Старый URL (GSC/sitemap);/seo-prodvizhenie-sajtov;REDIRECT;Общий коммерческий SEO-интент консолидируется на основной услуге.;301 на /seo-prodvizhenie-sajtov;Да;Средний: проверить перенос контента и релевантность;P1
/seo-prodvizhenie-sajtov-v-kazakhstane-aktualnye-trendy-i-strategii-2024-goda;Старый URL (GSC/sitemap);/strategii-prodvizheniya-sajtov-v-kazakhstane;REDIRECT;Несколько близких статей объединяются в один evergreen-материал.;301 на /strategii-prodvizheniya-sajtov-v-kazakhstane;Да;Средний: проверить перенос контента и релевантность;P1
/seo-prodvizhenie-sajtov-v-kazakhstane-klyuchevye-strategii-dlya-uspekha;Старый URL (GSC/sitemap);/strategii-prodvizheniya-sajtov-v-kazakhstane;REDIRECT;Несколько близких статей объединяются в один evergreen-материал.;301 на /strategii-prodvizheniya-sajtov-v-kazakhstane;Да;Средний: проверить перенос контента и релевантность;P1
/seo-prodvizhenie-sajtov-v-kazakhstane-zakazat-u-raskrutov;Старый URL (GSC/sitemap);/seo-prodvizhenie-sajtov;REDIRECT;Коммерческий SEO-интент объединяется с основной услугой, а не с информационной статьёй.;301 на /seo-prodvizhenie-sajtov;Да;Средний: проверить перенос контента и релевантность;P1
/sozdanie-saitov-v-Penropavlovske;Старый URL (GSC/sitemap);/sozdanie-saitov-v-Petropavlovske;REDIRECT;Консолидация дубля в выбранный канонический URL.;301 на /sozdanie-saitov-v-Petropavlovske;Да;Средний: проверить перенос контента и релевантность;P1
/sozdanie-sajtov-v-almaty-kak-vybrat-podkhodyashchuyu-cms-dlya-vashego-proekta;Старый URL (GSC/sitemap);/sozdanie-sajtov-v-kazakhstane-kak-vybrat-podkhodyashchuyu-platformu;REDIRECT;Материал о CMS объединяется с evergreen-статьёй о выборе платформы.;301 на /sozdanie-sajtov-v-kazakhstane-kak-vybrat-podkhodyashchuyu-platformu;Да;Средний: проверить перенос контента и релевантность;P1
AEO-продвижение;/web-studiya/aeo-prodvizhenie;/web-studiya/aeo-geo-prodvizhenie;UPDATE;Сохраняем уже опубликованный URL /web-studiya/aeo-geo-prodvizhenie.;Новая страница;Да, если старый URL опубликован;Средний;P1
CRM и автоматизация;/crm;/crm;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P1
SEO-продвижение;/web-studiya/seo-prodvizhenie;/seo-prodvizhenie-sajtov;UPDATE;Сохраняем /seo-prodvizhenie-sajtov: это самый заметный legacy-URL по данным GSC. Вложенный дубль консолидируется 301-редиректом.;Старый индексируемый URL сохраняется;Да, если старый URL опубликован;Средний;P1
Контакты Raskrutov;/kontakty;/kontakti;UPDATE;"Сохраняем /kontakti с кликами и сильными позициями; /kontakty перенаправляем.";Старый индексируемый URL сохраняется;Да, если старый URL опубликован;Средний;P1
Создание интернет-магазинов;/web-studiya/sozdanie-saitov/internet-magazin;/web-studiya/sozdanie-saitov/internet-magazin;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P1
Создание корпоративного сайта;/web-studiya/sozdanie-saitov/korporativnyy-sayt;/web-studiya/sozdanie-saitov/korporativnyy-sayt;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P1
Создание многостраничных сайтов;/web-studiya/sozdanie-saitov/mnogostranichnye-sayty;/web-studiya/sozdanie-saitov/mnogostranichnye-sayty;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P1
Создание сайтов;/web-studiya/sozdanie-saitov;/sozdanie-saitov;UPDATE;Сохраняем legacy-URL /sozdanie-saitov: у него есть показы и клики GSC. Новый вложенный дубль должен вести на него напрямую.;Старый индексируемый URL сохраняется;Да, если старый URL опубликован;Средний;P1
Политика конфиденциальности;Страницы не было в старой карте;/politika-konfidencialnosti;NEW;"Обязательная служебная страница; поисковый спрос не является основанием создания.";Новая страница;Нет;Низкий;P1
Публичная оферта;Страницы не было в старой карте;/publichnaya-oferta;NEW;"Обязательная служебная страница; поисковый спрос не является основанием создания.";Новая страница;Нет;Низкий;P1
Согласие на обработку персональных данных;Страницы не было в старой карте;/soglasie-na-obrabotku-personalnyh-dannyh;NEW;"Обязательная служебная страница; поисковый спрос не является основанием создания.";Новая страница;Нет;Низкий;P1
/arenda-kvartir-v-petropavlovske;Старый URL (GSC/sitemap);Удалить / закрыть от индексации;REMOVE;"Нерелевантная страница не относится к услугам Raskrutov; редирект на услугу был бы нерелевантным.";URL перестаёт индексироваться;Нет;"Высокий при наличии внешних ссылок; проверить перед удалением";P1
/targetnaya-reklama-instagram;Старый URL (GSC/sitemap);/targetnaya-reklama-instagram;NOINDEX;"Направление не подтверждено в текущем перечне услуг; оставить до ручного решения без индексации.";URL перестаёт индексироваться;Нет;Средний: решение требует ручной проверки;P1
/contextnaya-reklama-google-i-yandex;Старый URL (GSC/sitemap);/web-studiya/kontekstnaya-reklama;REDIRECT;Консолидация дубля в выбранный канонический URL.;301 на /web-studiya/kontekstnaya-reklama;Да;Средний: проверить перенос контента и релевантность;P2
/preimuschestva-kompanii;Старый URL (GSC/sitemap);/o-kompanii;REDIRECT;Консолидация дубля в выбранный канонический URL.;301 на /o-kompanii;Да;Средний: проверить перенос контента и релевантность;P2
/prodvizhenie-sajtov-v-almaty-lokalnye-metody-dlya-uvelicheniya-trafika;Старый URL (GSC/sitemap);/seo-prodvizhenie-v-almaty-polnyj-gid-dlya-biznesa;REDIRECT;Дубли информационного интента объединяются с наиболее заметным URL.;301 на /seo-prodvizhenie-v-almaty-polnyj-gid-dlya-biznesa;Да;Средний: проверить перенос контента и релевантность;P2
/seo-prodvizhenie-v-almaty-kak-uluchshit-polzovatelskij-opyt-na-sajte;Старый URL (GSC/sitemap);/seo-prodvizhenie-v-almaty-polnyj-gid-dlya-biznesa;REDIRECT;Дубли информационного интента объединяются с наиболее заметным URL.;301 на /seo-prodvizhenie-v-almaty-polnyj-gid-dlya-biznesa;Да;Средний: проверить перенос контента и релевантность;P2
/sozdanie-sajtov-v-kazakhstane-kak-vybrat-podryadchika-dlya-vashego-proekta;Старый URL (GSC/sitemap);/sozdanie-saitov;REDIRECT;Слабые дубли коммерческого интента объединяются с основной услугой.;301 на /sozdanie-saitov;Да;Средний: проверить перенос контента и релевантность;P2
/usloviya-sotrudnichestva;Старый URL (GSC/sitemap);/partneram;REDIRECT;Консолидация дубля в выбранный канонический URL.;301 на /partneram;Да;Средний: проверить перенос контента и релевантность;P2
/web-studiya/sozdanie-saitov;Старый URL (GSC/sitemap);/sozdanie-saitov;REDIRECT;Консолидация дубля в выбранный канонический URL.;301 на /sozdanie-saitov;Да;Средний: проверить перенос контента и релевантность;P2
AI R-Builder;/r-builder/ai-r-builder;/r-builder/ai-r-builder;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
R-Builder для бизнеса;/r-builder/dlya-biznesa;/r-builder/dlya-biznesa;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Автоматизация продаж;/crm/avtomatizatsiya-prodazh;/crm/avtomatizatsiya-prodazh;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Внедрение AI-консультантов;/web-studiya/sozdanie-saitov/ai-konsultanty;/web-studiya/sozdanie-saitov/ai-konsultanty;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Внедрение CRM;/crm/vnedrenie-crm;/crm/vnedrenie-crm;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Возможности платформы;/r-builder/vozmozhnosti;/r-builder/vozmozhnosti;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Действующие партнёры;/partneram/deystvuyushchie-partnery;/partneram/deystvuyushchie-partnery;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
Для рекламных агентств;/partneram/dlya-reklamnyh-agentstv;/partneram/dlya-reklamnyh-agentstv;UPDATE;Отдельный интент или стратегическая страница отсутствует в опубликованной структуре.;Новая страница;Нет;Низкий;P2
